Industry,Job Title,Business Name,Link,Phone,Email,Website,Street,Suburb,State,Postcode,Full Location,Category,About Us,Products and Services
Health and Allied Health,Dental Assistant,Century Dental,https://www.yellowpages.com.au/vic/balwyn/century-dental-14237584-listing.html,(03) 9831 3222,alan@centurydental.com.au,http://www.centurydental.com.au,Level 2A 379-381 Whitehorse Rd,Balwyn,VIC,3103.0,"Level 2A 379-381 Whitehorse Rd, Balwyn VIC 3103",Dentist,"Payment Methods
American Express
Cash
Cheques
EFTPOS
HICAPS
Mastercard
Visa
ABN
36 627 564 664
Legal ID
Conveniently located","Hours of Operation
Open Evenings By Appointment, Open Monday - Friday
Product
Mouthguards
Dental Concern
Chipped Teeth, Cracked Teeth, Dead Teeth, Infections, Stains, Swellings, Tooth Sensitivity, Wisdom Teeth
Services
Caps, Composite Fillings, Computer Imaging, Dental Bridges, Dental Crowns, Dental Extractions, Dental Implants, Dentures, Fillings, Inlays, Occlusal Splints, Onlays, Root Canal Surgery, Root Canal Treatments, Sealants, X-rays
Offering
Digital X-Ray
Features
Bonded, By Appointment, DVDs, Examinations, Music, Owner Operated
Catering To
Adults, Children, Endodontics, Family, General Dentistry, Holistic, Hygienists, Oral Surgeons, Sedation Dentistry"
Health and Allied Health,Dental Assistant,Dr Steven D Love Dentist,https://www.yellowpages.com.au/vic/brighton/dr-steven-d-love-dentist-14743886-listing.html,(03) 9596 3379,reception@drslove.com.au,http://lovedental.com.au,Suite 2 321 Bay St,Brighton,VIC,3186.0,"Suite 2 321 Bay St, Brighton VIC 3186",Dentist,"Payment Methods
Cheques
EFTPOS
HICAPS
Mastercard
Visa
ABN
94 750 859 550
Legal ID
Professional & reliable","Product
Bleaches, Mouthguards
Services
Abrasion, Composite Fillings, Dental Bridges, Dental Crowns, Dental Extractions, Dental Implants, Dentures, Fillings, Gum Treatments, Occlusal Splints, Pain Management, Porcelain Veneers, Prosthetics, Reconstructions, Restorations, Root Canal Surgery, Root Canal Treatments, Sealants, Tartar Control, Teeth Cleaning, Teeth Whitening, X-rays
Offering
Department of Veterans' Affairs, Parking
Features
Registered, Veterans Affairs Card Holders
Catering To
Adults, Children"
Health and Allied Health,Dental Assistant,Arawatta Dental Centre,https://www.yellowpages.com.au/vic/carnegie/arawatta-dental-centre-15300125-listing.html,(03) 9568 7484,info@arawattadentalcentre.com.au,http://www.arawattadentalcentre.com.au,40B Koornang Rd,Carnegie,VIC,3163.0,"40B Koornang Rd, Carnegie VIC 3163",Dentist,"Payment Methods
American Express
BPAY
Cash
Cheques
Direct Debit
EFT
EFTPOS
HICAPS
Mastercard
Visa
Also trades as
Dr. Andrew Chio","Hours of Operation
Open Evenings By Appointment, Open Late, Open Monday - Friday, Open Saturdays
Product
Anti-snoring Devices, Braces, Mouthguards, Mouthwashes
Dental Concern
Abscess, Chipped Teeth, Cracked Teeth, Crowded Teeth, Discoloured Teeth, Dry Mouth, Facial Trauma, Gum Diseases, Halitosis, Headaches, Infections, Joint Disorders, Oral Cancer, Sleep Apnoea, Sleep Disorders, Snoring, Stains, Swellings, Teeth Grinding, Temporomandibular Disorders, TMJ Problems, Tooth Decay, Tooth Sensitivity, Traumatic Injuries, Wisdom Teeth
Services
Amalgam Removal, Anaesthetics, Bite Correction, Caps, Composite Fillings, Dental Bridges, Dental Crowns, Dental Extractions, Dental Implants, Dentures, Fillings, Gum Treatments, Inlays, Occlusal Splints, Onlays, Pain Management, Porcelain Veneers, Prosthetics, Reconstructions, Relines, Replacements, Restorations, Root Canal Treatments, Sealants, Smile Makeovers, Snoring Devices, Straightening, Tartar Control, Teeth Cleaning, Teeth Whitening, X-rays
Brand
Colgate, Invisalign, Oral-B, Penthrox, Straumann, Zoom
Offering
Department of Veterans' Affairs, Digital X-Ray, High Tech Laser, Intra-oral Camera, Laser Caries Detector, Lasers, Wheelchair Access
Features
By Appointment, Certified, DVDs, Headphones, Massage Pads, Movies, Music, TVs
Catering To
Adults, Children, Cosmetic Dentistry, Endodontics, Family, General Dentistry, Holistic, Hygienists, Infants, Maxillofacial Surgery, Micro-dentistry, Neuromuscular, Oral Surgeons, Oral Surgery, Periodontics, Prosthodontics, Sedation Dentistry, Sports Dentistry, Teenagers"
Health and Allied Health,Dental Assistant,Marriott & Hand,https://www.yellowpages.com.au/vic/airport-west/marriott-hand-12739048-listing.html,(03) 9330 2455,reception@marriott-hand.com.au,http://www.marriottandhand.com.au,Suite 3/ 23 Louis St,Airport West,VIC,3042.0,"Suite 3/ 23 Louis St, Airport West VIC 3042",Dentist,"Payment Methods
American Express
Cash
Cheques
EFT
EFTPOS
HICAPS
Mastercard
Visa","Hours of Operation
Open Monday - Friday
Product
Anti-snoring Devices, Braces, Expansion Appliances, Mouthguards
Dental Concern
Abscess, Chipped Teeth, Cracked Teeth, Crowded Teeth, Gum Diseases, Halitosis, Joint Disorders, Sleep Apnoea, Sleep Disorders, Snoring, Teeth Grinding, Temporomandibular Disorders, TMJ Problems, Tooth Decay, Tooth Sensitivity, Traumatic Injuries, Wisdom Teeth
Services
Bite Correction, Composite Fillings, Computer Imaging, CT Dentascan, Dental Bridges, Dental Crowns, Dental Extractions, Dental Implants, Dentures, Fillings, Gum Treatments, Occlusal Splints, Pain Management, Porcelain Veneers, Prosthetics, Reconstructions, Relines, Replacements, Restorations, Root Canal Surgery, Root Canal Treatments, Sealants, Smile Makeovers, Snoring Devices, Straightening, Tartar Control, Teeth Cleaning, Teeth Whitening, X-rays
Brand
Straumann
Offering
Digital X-Ray, High Tech Laser, Intra-oral Camera, Laser Caries Detector, Lasers, Microscopes, OPG X-Ray, WAND, Wheelchair Access
Features
Family Operated, Family Owned, Medicare, Veterans Affairs Card Holders
Catering To
Adults, Children, Cosmetic Dentistry, Drill Free, Endodontics, Family, General Dentistry, Hygienists, Micro-dentistry, Oral Radiology, Oral Surgery, Orthodontics, Periodontics, Prosthodontics, Sedation Dentistry, Sports Dentistry"
Health and Allied Health,Dental Assistant,Wattle Park Dental,https://www.yellowpages.com.au/vic/surrey-hills/wattle-park-dental-13017869-listing.html,(03) 9605 3537,reception@wattleparkdental.com.au,http://www.wattleparkdental.com.au,1107 Riversdale Rd,Surrey Hills,VIC,3127.0,"1107 Riversdale Rd, Surrey Hills VIC 3127",Dentist,"Payment Methods
Cash
EFTPOS
HICAPS
Mastercard
Visa
Legal ID
Over 30 years' experience","Product
Braces, Lingual Braces
Services
Caps, Dentures, Fillings, Inlays, Replacements, Sealants, Smile Makeovers, Straightening
Offering
Parking
Features
Bonded, Disabled Access
Catering To
Adults, Children, Endodontics, Family, Oral Surgery, Orthodontics, Periodontics"
Health and Allied Health,Dental Assistant,Keilor Downs Dental Clinic,https://www.yellowpages.com.au/vic/keilor-downs/keilor-downs-dental-clinic-13912521-listing.html,(03) 9366 8130,admin@keilordownsdental.com.au,http://www.keilordownsdental.com.au,2 Medina Rd,Keilor Downs,VIC,3038.0,"2 Medina Rd, Keilor Downs VIC 3038",Dentist,"ABN
16 897 187 860
Staff
1-10
Established
1985",No information available
Health and Allied Health,Dental Assistant,SAV Dental,https://www.yellowpages.com.au/vic/berwick/sav-dental-1000001965178-listing.html,(03) 9707 3227,info@savdental.com.au,http://www.savdental.com.au,Suite 2 62 Gloucester Ave,Berwick,VIC,3806.0,"Suite 2 62 Gloucester Ave, Berwick VIC 3806",Dentist,"About SAV Dental
Sav Dental is a General dental practice for the whole family located in Gloucester Ave in Berwick offering Affordable Care without compromising  the quality.",No information available
Health and Allied Health,Dental Assistant,Ballarat Orthodontic Practice,https://www.yellowpages.com.au/vic/ballarat/ballarat-orthodontic-practice-14406093-listing.html,(03) 5331 6820,sarah@directdeal.com.au,https://www.ballaratorthodontic.com.au,20 Raglan St North,Ballarat,VIC,3350.0,"20 Raglan St North, Ballarat VIC 3350",Dentist,"Payment Methods
Cash
ABN
47 845 840 878","Hours of Operation
24hr Emergency Service, Open Monday - Friday
Product
Braces
Dental Concern
Bumps, Chipped Teeth, Cleft Lip, Dead Teeth, Dental Pulp, Discoloured Teeth, Dry Mouth, Facial Trauma, Gum Diseases, Infections, Inflammation, Inherited Disorders, Joint Disorders, Lumps, Nerves, Oral Cancer, Pressure, Sleep Apnoea, Snoring, Stains, Swellings, Teeth Grinding, Temporomandibular Disorders, TMJ Problems, Tooth Decay, Tooth Sensitivity, Traumatic Injuries, Whiplash, Wisdom Teeth
Services
Abrasion, Amalgam Removal, Bite Correction, Caps, Composite Fillings, Dental Bridges, Dental Crowns, Dental Extractions, Dental Implants, Fillings, Inlays, Occlusal Splints, Onlays, Pain Management, Sealants, Straightening
Brand
BriteSmile, Cerec, Invisalign
Features
By Appointment, Consultations, Evaluations, Family Operated, Family Owned, Free Consultations, Guaranteed, Owner Operated, Warranties
Catering To
Adults, Children, Cosmetic Dentistry, Dentofacial Orthopaedics, Drill Free, Endodontics, Family, General Dentistry, Holistic, Injection Free, Maxillofacial Surgery, Micro-dentistry, Oral Pathology, Oral Radiology, Orthodontics, Periodontics, Prosthodontics, Special Needs, Sports Dentistry"
Health and Allied Health,Dental Assistant,My Dentist Ballarat,https://www.yellowpages.com.au/vic/wendouree/my-dentist-ballarat-1000002356501-listing.html,(03) 4335 5903,info@mydentistballarat.com.au,https://mydentistballarat.com.au,Centre Cnr Norman and,Wendouree,VIC,3355.0,"Centre Cnr Norman and, Wendouree VIC 3355",Dentist,"Payment Methods
Cash
Cheques
EFTPOS
HICAPS
Mastercard
Visa
ABN
93 622 971 626","Hours of Operation
Open Monday - Friday
Dental Concern
Cracked Teeth, Dead Teeth, Discoloured Teeth, Gum Diseases, Stains, Tooth Decay, Tooth Sensitivity, Wisdom Teeth
Services
Caps, Computer Imaging, Dental Bridges, Dental Crowns, Dental Extractions, Dental Implants, Dentures, Fillings, Gum Treatments, Porcelain Veneers, Replacements, Restorations, Root Canal Treatments, Smile Makeovers, Tartar Control, Teeth Cleaning, Teeth Whitening
Offering
Intra-oral Camera, Parking
Features
By Appointment, Family Owned, Fixed Pricing, Owner Operated
Catering To
Adults, Children, Cosmetic Dentistry, Family, Hygienists, Infants, Oral Surgeons, Orthodontics, Sports Dentistry, Teenagers"
Health and Allied Health,Dental Assistant,Fowler Street Dental Moe,https://www.yellowpages.com.au/vic/moe/fowler-street-dental-moe-15432902-listing.html,(03) 5127 1595,fowlerstreetdental@dcsi.net.au,http://www.fowlerstreetdental.com.au,21 Fowler St,Moe,VIC,3825.0,"21 Fowler St, Moe VIC 3825",Dentist,"Payment Methods
Cash
Cheques
EFT
HICAPS
Visa","Product
Mouthguards
Services
Amalgam Removal, Composite Fillings, Dental Bridges, Dental Crowns, Dental Extractions, Dentures, Fillings, Occlusal Splints, Prosthetics, Restorations, Root Canal Treatments, Sealants, Smile Makeovers, Teeth Cleaning, Teeth Whitening, X-rays
Features
Fixed Pricing, Insurance Claims, Medicare, Senior Discounts, Veterans Affairs Card Holders
Catering To
Adults, Children, Cosmetic Dentistry, Endodontics, Family, General Dentistry, Infants, Prosthodontics, Rehabilitation, Sports Dentistry, Teenagers"
Health and Allied Health,Dental Assistant,448 Dental - Dr Kim Dang,https://www.yellowpages.com.au/vic/bendigo/448-dental-dr-kim-dang-15335735-listing.html,(03) 5441 5537,kdangdental@gmail.com,http://www.448dental.com.au,448 Hargreaves St,Bendigo,VIC,3550.0,"448 Hargreaves St, Bendigo VIC 3550",Dentist,"Payment Methods
Cash
Cheques
EFTPOS
HICAPS
Mastercard
Visa
ABN
96 155 224 589
Also trades as
Kim Dang Dental Surgery
Legal ID
Modern equipment","Hours of Operation
Open Monday - Friday
Dental Concern
Abscess, Cracked Teeth, Dead Teeth, Dental Pulp, Discoloured Teeth, Gum Diseases, Halitosis, Infections, Inflammation, Swellings, Tooth Decay, Tooth Sensitivity, Wisdom Teeth
Services
Composite Fillings, Dental Bridges, Dental Crowns, Dental Extractions, Dental Implants, Dentures, Fillings, Porcelain Veneers, Relines, Root Canal Treatments, Sealants, Teeth Cleaning, Teeth Whitening
Offering
Intra-oral Camera, Lasers, Parking
Catering To
Adults, Children, Teenagers"
Health and Allied Health,Dental Assistant,Welsford Dental,https://www.yellowpages.com.au/vic/shepparton/welsford-dental-12033221-listing.html,(03) 5821 3055,admin@welsforddental.com,https://www.welsforddental.com.au,42 Welsford St,Shepparton,VIC,3630.0,"42 Welsford St, Shepparton VIC 3630",Dentist,"Payment Methods
Cash
Cheques
EFTPOS
HICAPS
Mastercard
Visa
ABN
26 096 513 898","Hours of Operation
Open Monday - Friday
Product
Anti-snoring Devices, Mouthguards
Dental Concern
Abscess, Bumps, Chipped Teeth, Cracked Teeth, Crowded Teeth, Dead Teeth, Dental Pulp, Discoloured Teeth, Dry Mouth, Facial Trauma, Gum Diseases, Halitosis, Headaches, Infections, Inflammation, Joint Disorders, Lumps, Nerves, Oral Cancer, Pressure, Sleep Apnoea, Sleep Disorders, Snoring, Stains, Swellings, Teeth Grinding, Temporomandibular Disorders, Tinnitus, TMJ Problems, Tooth Decay, Tooth Sensitivity, Traumatic Injuries, Whiplash, Wisdom Teeth
Services
Amalgam Removal, Anaesthetics, Bite Correction, Bone Regeneration, Caps, Composite Fillings, Computer Imaging, CT Dentascan, Dental Bridges, Dental Crowns, Dental Extractions, Dental Implants, Dentures, Fillings, General Anaesthetic, Gum Treatments, Inlays, Occlusal Splints, Onlays, Pain Management, Porcelain Veneers, Prosthetics, Reconstructions, Relines, Replacements, Restorations, Root Canal Treatments, Smile Makeovers, Straightening, Tartar Control, Teeth Cleaning, Teeth Whitening, X-rays
Features
By Appointment, Certified, Evaluations, Examinations, Family Operated, Family Owned, Government Subsidy, Insurance Accepted, Insurance Claims, Medicare, Owner Operated, Quotes, Registered, Veterans Affairs Card Holders
Catering To
Adults, Children, Family, General Dentistry, Infants, Sedation Dentistry, Teenagers"
Health and Allied Health,Dental Assistant,General & Cosmetic Dentistry,https://www.yellowpages.com.au/vic/kew-east/general-cosmetic-dentistry-12697417-listing.html,(03) 9859 2749,smile@generalandcosmeticdentistry.net.au,http://www.generalandcosmeticdentistry.net.au,719 High St,Kew East,VIC,3102.0,"719 High St, Kew East VIC 3102",Dentist,"ABN
81 006 478 557","Dental Concern
Crowded Teeth, Headaches, Infections
Services
Dental Crowns, Dental Implants, Fillings, Pain Management, Straightening, Teeth Whitening
Hours of Operation
Open Monday - Friday, Open Saturdays
Catering To
Children, Family, Orthodontics"
Health and Allied Health,Dental Assistant,Victorian Oral & Facial Surgeons,https://www.yellowpages.com.au/vic/brighton-east/victorian-oral-facial-surgeons-15771821-listing.html,(03) 9592 6445,admin@vofs.com.au,https://vofs.com.au,759 Nepean Hwy,Brighton East,VIC,3187.0,"759 Nepean Hwy, Brighton East VIC 3187",Dentist,"ABN
33 162 376 196
ACN
162 376 196
Staff
1-10
Established
2014",No information available
Health and Allied Health,Dental Assistant,Mordialloc Dental Group,https://www.yellowpages.com.au/vic/mordialloc/mordialloc-dental-group-11868817-listing.html,(03) 9580 3323,info@mordiallocdental.com,http://www.mordiallocdental.com.au,Suite 2/ 481 Main St,Mordialloc,VIC,3195.0,"Suite 2/ 481 Main St, Mordialloc VIC 3195",Dentist,"Payment Methods
Cash
EFT
Mastercard
Visa
ABN
66 135 481 024
Established
2001","Product
Braces, Mouthguards
Services
Abrasion, Dentures, Fillings, Occlusal Splints, Pain Management, Restorations, Sealants, X-rays
Features
Bonded, Examinations, Family Owned
Catering To
Children, Endodontics, Family, Rehabilitation"
Health and Allied Health,Dental Assistant,Patterson Lakes Dental Group,https://www.yellowpages.com.au/vic/patterson-lakes/patterson-lakes-dental-group-14949689-listing.html,(03) 9773 4044,,https://www.patterson-lakes-dentist.com.au,Shop 2/ Harbour Plaza 21 Thompson Rd,Patterson Lakes,VIC,3197.0,"Shop 2/ Harbour Plaza 21 Thompson Rd, Patterson Lakes VIC 3197",Dentist,"About Patterson Lakes Dental Group
Patterson Lakes Dental Group has been established for over 20 years. We aim to provide dental treatment in a gentle, caring and respectful manner.
Payment Methods
Cash
EFT
EFTPOS
HICAPS
Mastercard
Visa
Established
1996","Services
Dental Crowns, Dental Extractions, Fillings, Occlusal Splints, Restorations, Sealants, Teeth Cleaning, Teeth Whitening
Dental Concern
Abscess, Bumps, Chipped Teeth, Cracked Teeth, Dead Teeth, Dental Pulp, Discoloured Teeth, Dry Mouth, Gum Diseases, Halitosis, Infections, Inflammation, Lumps, Pressure, Swellings, Teeth Grinding, Tooth Decay, Tooth Sensitivity, Wisdom Teeth
Catering To
Adults, Children, Cosmetic Dentistry, Family, General Dentistry, Teenagers"
Health and Allied Health,Dental Assistant,Confident Smile Dental Clinic,https://www.yellowpages.com.au/vic/newcomb/confident-smile-dental-clinic-1000002301452-listing.html,(03) 5242 8740,admin@confidentsmiles.com.au,http://confidentsmiles.com.au,74 Bellarine Hwy,Newcomb,VIC,3219.0,"74 Bellarine Hwy, Newcomb VIC 3219",Dentist,"Staff
1-10",No information available
Health and Allied Health,Dental Assistant,Strathbogie Dental,https://www.yellowpages.com.au/vic/euroa/strathbogie-dental-1000002340397-listing.html,(03) 4702 2111,admin@strathbogiedental.com.au,http://strathbogiedental.com.au,36 Kennedy St,Euroa,VIC,3666.0,"36 Kennedy St, Euroa VIC 3666",Dentist,"Established
2019",No information available
Health and Allied Health,Dental Assistant,Swan Hill District Health,https://www.yellowpages.com.au/vic/swan-hill/swan-hill-district-health-14793174-listing.html,(03) 5033 9336,dental.clinic@shdh.org.au,http://www.shdh.org.au,30 High St,Swan Hill,VIC,3585.0,"30 High St, Swan Hill VIC 3585",Dentist,"ABN
24 314 338 210
Staff
501-1000",No information available
Health and Allied Health,Dental Assistant,Werribee Smile Centre,https://www.yellowpages.com.au/vic/werribee/werribee-smile-centre-14629921-listing.html,(03) 9741 9052,sebfrazzetto@bigpond.com,,295 Princes Hwy,Werribee,VIC,3030.0,"295 Princes Hwy, Werribee VIC 3030",Dentist,"Payment Methods
Cash
Cheques
EFT
EFTPOS
Mastercard
Money Order
Visa
ABN
48 184 946 973
Staff
1-10
Legal ID
All general dental services","Hours of Operation
Open Monday - Friday, Open Saturdays
Product
Bleaches, Braces, Brackets, Expansion Appliances, Mouthguards, Mouthwashes, Toothpastes
Dental Concern
Abscess, Chipped Teeth, Cracked Teeth, Crowded Teeth, Dead Teeth, Dental Pulp, Discoloured Teeth, Dry Mouth, Gum Diseases, Halitosis, Headaches, Infections, Inflammation, Sleep Apnoea, Snoring, Stains, Swellings, Teeth Grinding, Temporomandibular Disorders, Tinnitus, TMJ Problems, Tooth Decay, Traumatic Injuries
Services
Bite Correction, Dental Bridges, Dental Crowns, Dental Extractions, Dentures, Fillings, Gum Treatments, Inlays, Occlusal Splints, Onlays, Pain Management, Porcelain Veneers, Reconstructions, Relines, Replacements, Restorations, Root Canal Surgery, Root Canal Treatments, Sealants, Smile Makeovers, Snoring Devices, Straightening, Tartar Control, Teeth Whitening, X-rays
Brand
Colgate, Invisalign, Oral-B, Penthrox, Procera, Sensodyne, Straumann
Offering
Department of Veterans' Affairs, Intra-oral Camera, Parking
Features
By Appointment, Consultations, Examinations, Owner Operated, TAC, TVs, Veterans Affairs Card Holders
Catering To
Adults, Children, Cosmetic Dentistry, Dentofacial Orthopaedics, Endodontics, Family, General Dentistry, Infants, Oral Radiology, Orthodontics, Periodontics, Prosthodontics, Special Needs, Sports Dentistry, Teenagers"
Health and Allied Health,Dental Assistant,Malvern Village Dental,https://www.yellowpages.com.au/vic/malvern/malvern-village-dental-1000002022643-listing.html,(03) 9822 1836,,http://malvernvillagedental.com.au,1409 Malvern Rd,Malvern,VIC,3144.0,"1409 Malvern Rd, Malvern VIC 3144",Dentist,"About Malvern Village Dental
Family dentistry since 1920
Established
1920
Also trades as
Malvern Village Dental","Catering To
Adults, Children, Family, General Dentistry, Teenagers"
Health and Allied Health,Dental Assistant,Art De Dente,https://www.yellowpages.com.au/vic/melbourne/art-de-dente-1000002657037-listing.html,(03) 9642 8955,reception@artdedente.com.au,http://artdedente.com.au,Level 17 190 Queen St,Melbourne,VIC,3000.0,"Level 17 190 Queen St, Melbourne VIC 3000",Dentist,No information available,No information available
