Industry,Job Title,Business Name,Link,Phone,Email,Website,Street,Suburb,State,Postcode,Full Location,About Us,Products and Services
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Max Events And Marketing Pty Ltd,https://www.yellowpages.com.au/vic/box-hill-south/max-events-and-marketing-pty-ltd-13966425-listing.html,(03) 8803 0200,,http://www.maxevents.com.au,Suite 7 205A Middleborough Rd,Box Hill South,VIC,3128.0,"Suite 7 205A Middleborough Rd, Box Hill South VIC 3128",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,CoupleUP,https://www.yellowpages.com.au/vic/sandringham/coupleup-1000002339954-listing.html,0402 337 425,carlmdoyle@hotmail.com,,,Sandringham,VIC,3191,Sandringham VIC 3191,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Event Entertainment Group,https://www.yellowpages.com.au/vic/caroline-springs/event-entertainment-group-1000002221635-listing.html,1300 743 432,info@evententertainmentgroup.com.au,http://www.evententertainmentgroup.com.au,PO Box 3611,Caroline Springs,VIC,3023.0,"PO Box 3611, Caroline Springs VIC 3023",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Amazing Transformations,https://www.yellowpages.com.au/vic/heathmont/amazing-transformations-13150568-listing.html,(03) 9870 5762,,,15 Ross Crst,Heathmont,VIC,3135.0,"15 Ross Crst, Heathmont VIC 3135",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Local Market Co,https://www.yellowpages.com.au/vic/chirnside-park/local-market-co-1000002139131-listing.html,0403 279 157,localmarketco@outlook.com,,33 Kimberley Dr,Chirnside Park,VIC,3116.0,"33 Kimberley Dr, Chirnside Park VIC 3116",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Memento Vivere Melbourne,https://www.yellowpages.com.au/vic/endeavour-hills/memento-vivere-melbourne-1000002607630-listing.html,0401 514 511,mvmelb@gmail.com,,,Endeavour Hills,VIC,3802,Endeavour Hills VIC 3802,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Modest Celebrations,https://www.yellowpages.com.au/vic/berwick/modest-celebrations-1000001924725-listing.html,0419 971 999,enquiries@modestcelebrations.com,http://www.modestcelebrations.com,,Berwick,VIC,3810,Berwick VIC 3810,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,No Probllama Events,https://www.yellowpages.com.au/vic/mornington/no-probllama-events-1000002274670-listing.html,0424 956 006,info@noprobllamaevents.com.au,http://www.noprobllamaevents.com.au,,Mornington,VIC,3931,Mornington VIC 3931,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Perfect Proposals AU,https://www.yellowpages.com.au/vic/mornington/perfect-proposals-au-1000002706988-listing.html,0411 777 805,perfectproposalsau@gmail.com,,,Mornington,VIC,3931,Mornington VIC 3931,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,EventConnect,https://www.yellowpages.com.au/vic/mornington/eventconnect-1000000754910-listing.html,(03) 9945 8108,,http://www.eventconnect.com,315 Main St,Mornington,VIC,3931.0,"315 Main St, Mornington VIC 3931",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Bell Park Party People,https://www.yellowpages.com.au/vic/bell-park/bell-park-party-people-1000000726827-listing.html,0499 200 595,bellparkpartypeople@gmail.com,,61 Hughes St,Bell Park,VIC,3215.0,"61 Hughes St, Bell Park VIC 3215",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Queen M Celebrations,https://www.yellowpages.com.au/vic/yannathan/queen-m-celebrations-1000000734388-listing.html,0457 198 949,queenmcelebrations@outlook.com,,,Yannathan,VIC,3981,Yannathan VIC 3981,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Businesss Building Events,https://www.yellowpages.com.au/vic/torquay/businesss-building-events-15755124-listing.html,0408 007 790,,http://www.facebook.com/BusinessBuildingEventsAustralia,27 Koomeela Dr,Torquay,VIC,3228.0,"27 Koomeela Dr, Torquay VIC 3228",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,AJArtwork,https://www.yellowpages.com.au/vic/traralgon/ajartwork-15605602-listing.html,0437 981 631,aj.artwork@outlook.com,,19 Queens Parade,Traralgon,VIC,3844.0,"19 Queens Parade, Traralgon VIC 3844",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Precision Event Management,https://www.yellowpages.com.au/vic/benalla/precision-event-management-1000002270472-listing.html,0475 076 397,helloprecisionevents@gmail.com,,,Benalla,VIC,3672,Benalla VIC 3672,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Roaring 20 Events,https://www.yellowpages.com.au/sup/roaring-20-events-1000002626676-listing.html,0411 488 821,roaring20events@outlook.com,,,,,,No location found,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Peachy Weekends,https://www.yellowpages.com.au/sup/peachy-weekends-1000002626940-listing.html,0479 154 714,jorgia@peachyweekends.com.au,http://www.peachyweekends.com.au,,,,,No location found,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,DG Global,https://www.yellowpages.com.au/sup/dg-global-12479599-listing.html,(03) 9686 1955,,http://www.dgglobal.com.au,,,,,No location found,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Balwyn Events,https://www.yellowpages.com.au/sup/balwyn-events-14889656-listing.html,(03) 9899 6265,,http://www.balwynevents.com.au,,,,,No location found,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Open House Melbourne Inc,https://www.yellowpages.com.au/sup/open-house-melbourne-inc-14937486-listing.html,(03) 9639 1115,,http://www.openhousemelbourne.org,,,,,No location found,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Plan Ahead Events Camberwell,https://www.yellowpages.com.au/sup/plan-ahead-events-camberwell-15551483-listing.html,0411 231 198,mary.t@planaheadevents.com.au,http://www.planaheadevents.com.au,,,,,No location found,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Party Frenzees,https://www.yellowpages.com.au/vic/melbourne/party-frenzees-1000002358409-listing.html,0468 993 012,,,,Melbourne,VIC,3000,Melbourne VIC 3000,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Wishful Events,https://www.yellowpages.com.au/vic/melbourne/wishful-events-12905562-listing.html,0425 768 166,,,,Melbourne,VIC,3000,Melbourne VIC 3000,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Le Marketing,https://www.yellowpages.com.au/vic/melbourne/le-marketing-14076761-listing.html,0401 151 829,,,,Melbourne,VIC,3000,Melbourne VIC 3000,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Sovereign Functions,https://www.yellowpages.com.au/vic/melbourne/sovereign-functions-14810109-listing.html,(03) 9909 7458,,,,Melbourne,VIC,3000,Melbourne VIC 3000,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Melbourne Festival,https://www.yellowpages.com.au/vic/melbourne/melbourne-festival-12305092-listing.html,(03) 9662 4242,,,172 Flinders St,Melbourne,VIC,3000.0,"172 Flinders St, Melbourne VIC 3000",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Peter Jones Special Events Pty Ltd,https://www.yellowpages.com.au/vic/north-melbourne/peter-jones-special-events-pty-ltd-12622527-listing.html,(03) 9320 5700,,,172- 174 Chetwynd St,North Melbourne,VIC,3051.0,"172- 174 Chetwynd St, North Melbourne VIC 3051",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,MCI Australia Pty Ltd,https://www.yellowpages.com.au/vic/melbourne/mci-australia-pty-ltd-14609077-listing.html,(03) 9320 8615,,,The Commons Qv 3 Albert Coates Lane,Melbourne,VIC,3000.0,"The Commons Qv 3 Albert Coates Lane, Melbourne VIC 3000",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Shoot The Moon,https://www.yellowpages.com.au/vic/south-melbourne/shoot-the-moon-12279950-listing.html,(03) 8606 3222,,,8 Union St,South Melbourne,VIC,3205.0,"8 Union St, South Melbourne VIC 3205",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Enchant Me Events,https://www.yellowpages.com.au/vic/melbourne-st-kilda-rd/enchant-me-events-15757147-listing.html,0448 283 695,,,1 Queens Rd,Melbourne St Kilda Rd,VIC,3004.0,"1 Queens Rd, Melbourne St Kilda Rd VIC 3004",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Eternal Events,https://www.yellowpages.com.au/vic/collingwood/eternal-events-14202629-listing.html,0418 550 403,,,124 Rupert St,Collingwood,VIC,3066.0,"124 Rupert St, Collingwood VIC 3066",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Citywide Traffic Management,https://www.yellowpages.com.au/vic/north-melbourne/citywide-traffic-management-13094005-listing.html,(03) 9267 5103,,,54 Green St,North Melbourne,VIC,3051.0,"54 Green St, North Melbourne VIC 3051",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Solution Entertainment,https://www.yellowpages.com.au/vic/prahran/solution-entertainment-15095190-listing.html,(03) 9826 3994,,,PO Box 416,Prahran,VIC,3181.0,"PO Box 416, Prahran VIC 3181",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Project Base,https://www.yellowpages.com.au/vic/kensington/project-base-15505158-listing.html,(03) 9939 9940,,,10 Elizabeth St,Kensington,VIC,3031.0,"10 Elizabeth St, Kensington VIC 3031",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Creative Event Group Pty Ltd,https://www.yellowpages.com.au/vic/port-melbourne/creative-event-group-pty-ltd-12110725-listing.html,(03) 9645 2393,,,5 Capistrano Pl,Port Melbourne,VIC,3207.0,"5 Capistrano Pl, Port Melbourne VIC 3207",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,COL CAMERON MASTER OF CEREMONIES MELBOURNE,https://www.yellowpages.com.au/vic/port-melbourne/col-cameron-master-of-ceremonies-melbourne-1000002910886-listing.html,0417 827 262,,,177 Salmon St,Port Melbourne,VIC,3207.0,"177 Salmon St, Port Melbourne VIC 3207",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Atelier Events,https://www.yellowpages.com.au/vic/port-melbourne/atelier-events-14113663-listing.html,0449 936 098,,,Unit 15/ 18 Beach St,Port Melbourne,VIC,3207.0,"Unit 15/ 18 Beach St, Port Melbourne VIC 3207",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Stadium Hospitality,https://www.yellowpages.com.au/vic/melbourne/stadium-hospitality-12858503-listing.html,(03) 9526 8544,,,566 St Kilda Rd,Melbourne,VIC,3000.0,"566 St Kilda Rd, Melbourne VIC 3000",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Jt Group The,https://www.yellowpages.com.au/vic/port-melbourne/jt-group-the-12291179-listing.html,(03) 9646 9444,,,4/ 3 Westside Ave,Port Melbourne,VIC,3207.0,"4/ 3 Westside Ave, Port Melbourne VIC 3207",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Mercury Principle,https://www.yellowpages.com.au/vic/richmond/mercury-principle-12347150-listing.html,(03) 9425 9449,,,374 Burnley St,Richmond,VIC,3121.0,"374 Burnley St, Richmond VIC 3121",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,PRE DRINKS BAR,https://www.yellowpages.com.au/vic/south-yarra/pre-drinks-bar-1000002933594-listing.html,0481 344 440,,,149 Commercial Rd,South Yarra,VIC,3141.0,"149 Commercial Rd, South Yarra VIC 3141",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,EVENTS MATE PTY LTD,https://www.yellowpages.com.au/vic/south-yarra/events-mate-pty-ltd-1000002875808-listing.html,0473 645 911,,,11 Wilson St,South Yarra,VIC,3141.0,"11 Wilson St, South Yarra VIC 3141",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Premium Seats,https://www.yellowpages.com.au/vic/prahran/premium-seats-14092236-listing.html,(03) 9529 1955,,,,Prahran,VIC,3181,Prahran VIC 3181,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Lab Creative Pty Ltd,https://www.yellowpages.com.au/vic/footscray/lab-creative-pty-ltd-13895641-listing.html,(03) 9396 1331,,,Unit 47/ 91 Moreland St,Footscray,VIC,3011.0,"Unit 47/ 91 Moreland St, Footscray VIC 3011",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,GoldenTix,https://www.yellowpages.com.au/vic/windsor/goldentix-1000001860944-listing.html,0410 632 146,,,75A Chapel St,Windsor,VIC,3181.0,"75A Chapel St, Windsor VIC 3181",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Fraser Management Group Pty Ltd,https://www.yellowpages.com.au/vic/prahran/fraser-management-group-pty-ltd-12314286-listing.html,(03) 9529 1955,,,15 Aberdeen Rd,Prahran,VIC,3181.0,"15 Aberdeen Rd, Prahran VIC 3181",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Makkah Decorators,https://www.yellowpages.com.au/vic/brunswick/makkah-decorators-1000002246667-listing.html,0424 447 504,,,649 Sydney Rd,Brunswick,VIC,3056.0,"649 Sydney Rd, Brunswick VIC 3056",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Dovetail Brand Engagement,https://www.yellowpages.com.au/vic/st-kilda/dovetail-brand-engagement-1000002834591-listing.html,(03) 9570 3358,,,222 St Kilda Rd,St Kilda,VIC,3182.0,"222 St Kilda Rd, St Kilda VIC 3182",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Event Affairs Pty Ltd,https://www.yellowpages.com.au/vic/st-kilda-east/event-affairs-pty-ltd-12476696-listing.html,(03) 9510 2828,,,208A Dandenong Rd,St Kilda East,VIC,3183.0,"208A Dandenong Rd, St Kilda East VIC 3183",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Imagine If - Creative Solutions,https://www.yellowpages.com.au/vic/kew/imagine-if-creative-solutions-11899402-listing.html,(03) 9439 5508,,,Suite 175 16 Cotham Rd,Kew,VIC,3101.0,"Suite 175 16 Cotham Rd, Kew VIC 3101",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Grassroots Productions - Sustainable Event Management,https://www.yellowpages.com.au/vic/yarraville/grassroots-productions-sustainable-event-management-12316819-listing.html,(03) 9017 3724,,,,Yarraville,VIC,3013,Yarraville VIC 3013,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Kiraly Lucy Promotions,https://www.yellowpages.com.au/vic/toorak/kiraly-lucy-promotions-12844460-listing.html,(03) 9824 4724,,,1 Monomeath Ave,Toorak,VIC,3142.0,"1 Monomeath Ave, Toorak VIC 3142",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Clued Up Team Events Victoria,https://www.yellowpages.com.au/vic/thornbury/clued-up-team-events-victoria-15423175-listing.html,0478 801 176,,,1/ 39 Comas Gr,Thornbury,VIC,3071.0,"1/ 39 Comas Gr, Thornbury VIC 3071",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,The Management Group Vic Pty Ltd,https://www.yellowpages.com.au/vic/hawthorn/the-management-group-vic-pty-ltd-12620509-listing.html,(03) 9818 0668,,,579 Burwood Rd,Hawthorn,VIC,3122.0,"579 Burwood Rd, Hawthorn VIC 3122",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Immaculate Events,https://www.yellowpages.com.au/vic/thornbury/immaculate-events-12463995-listing.html,0433 082 885,,,192A Mansfield St,Thornbury,VIC,3071.0,"192A Mansfield St, Thornbury VIC 3071",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,EzyVENT,https://www.yellowpages.com.au/vic/kew/ezyvent-1000002307448-listing.html,0400 614 667,,,9 Rimington Ave,Kew,VIC,3101.0,"9 Rimington Ave, Kew VIC 3101",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Arcway,https://www.yellowpages.com.au/vic/pascoe-vale-south/arcway-1000002766344-listing.html,0422 868 169,,,21 Westgate St,Pascoe Vale South,VIC,3044.0,"21 Westgate St, Pascoe Vale South VIC 3044",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Events By Mary,https://www.yellowpages.com.au/vic/malvern-east/events-by-mary-1000002335465-listing.html,0425 399 061,,,,Malvern East,VIC,3145,Malvern East VIC 3145,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,NMA Logistics & Labour Hire,https://www.yellowpages.com.au/vic/niddrie/nma-logistics-labour-hire-1000001892885-listing.html,0404 936 615,,,,Niddrie,VIC,3042,Niddrie VIC 3042,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,BBK MENTORING,https://www.yellowpages.com.au/vic/keilor-east/bbk-mentoring-1000002866046-listing.html,0425 794 530,,,10 Armstrong Cl,Keilor East,VIC,3033.0,"10 Armstrong Cl, Keilor East VIC 3033",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Theatrics,https://www.yellowpages.com.au/vic/bentleigh-east/theatrics-12723948-listing.html,(03) 9503 8755,,,64 Beddoe Ave,Bentleigh East,VIC,3165.0,"64 Beddoe Ave, Bentleigh East VIC 3165",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Heaven 7 Events,https://www.yellowpages.com.au/vic/bentleigh-east/heaven-7-events-1000002942656-listing.html,0431 027 027,,,42A Mcguinness Rd,Bentleigh East,VIC,3165.0,"42A Mcguinness Rd, Bentleigh East VIC 3165",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Premier Events,https://www.yellowpages.com.au/vic/mt-waverley/premier-events-13729771-listing.html,0439 795 945,,,1 Hamilton Walk,Mt Waverley,VIC,3149.0,"1 Hamilton Walk, Mt Waverley VIC 3149",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Events Masterclass,https://www.yellowpages.com.au/vic/greensborough/events-masterclass-1000002765814-listing.html,0401 136 519,,,31 Talbot St,Greensborough,VIC,3088.0,"31 Talbot St, Greensborough VIC 3088",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Origin Five,https://www.yellowpages.com.au/vic/cheltenham/origin-five-1000002905880-listing.html,0434 786 124,,,73 Tulip St,Cheltenham,VIC,3192.0,"73 Tulip St, Cheltenham VIC 3192",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Australian Conference & Event Organisers,https://www.yellowpages.com.au/vic/montmorency/australian-conference-event-organisers-12452601-listing.html,0447 279 008,,,,Montmorency,VIC,3094,Montmorency VIC 3094,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Aeon Events,https://www.yellowpages.com.au/vic/black-rock/aeon-events-1000001894542-listing.html,0411 108 724,,,,Black Rock,VIC,3193,Black Rock VIC 3193,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Event Staff Hire Australia,https://www.yellowpages.com.au/vic/cheltenham/event-staff-hire-australia-1000002905751-listing.html,0434 786 124,,,,Cheltenham,VIC,3192,Cheltenham VIC 3192,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,AC EVENTS MANAGEMENT & CONSULTANCY PTY LTD,https://www.yellowpages.com.au/vic/nunawading/ac-events-management-consultancy-pty-ltd-1000002837652-listing.html,0417 514 170,,,,Nunawading,VIC,3131,Nunawading VIC 3131,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Create Your Vision Photography and Events,https://www.yellowpages.com.au/vic/glen-waverley/create-your-vision-photography-and-events-1000002785234-listing.html,0429 548 880,,,,Glen Waverley,VIC,3150,Glen Waverley VIC 3150,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,ExpoTrade Australia Pty Ltd,https://www.yellowpages.com.au/vic/clayton/expotrade-australia-pty-ltd-1000002842444-listing.html,(03) 9545 0360,,,Building 4 Suite 24 195 Wellington Rd,Clayton,VIC,3168.0,"Building 4 Suite 24 195 Wellington Rd, Clayton VIC 3168",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Exquisite Events,https://www.yellowpages.com.au/vic/burnside/exquisite-events-11919063-listing.html,0421 725 103,,,22 Inglewood Dr,Burnside,VIC,3023.0,"22 Inglewood Dr, Burnside VIC 3023",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Phaseshift Production,https://www.yellowpages.com.au/vic/cheltenham/phaseshift-production-12130126-listing.html,(03) 8586 3444,,,39 Taunton Dr,Cheltenham,VIC,3192.0,"39 Taunton Dr, Cheltenham VIC 3192",No information available,No information available
